Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-03-11,2016,3,11,Friday,10,2016-10,482.7,493.77,482.7,492.18,45500,473.58,0.023967022966365326,458.07142857142856,450.17479166666664
2016-03-14,2016,3,14,Monday,11,2016-11,490.0,494.74,483.8,486.13,36500,467.76,-0.01229223418383496,460.10857142857145,450.5336734693878
2016-03-15,2016,3,15,Tuesday,11,2016-11,483.54,486.09,480.35,482.7,47900,464.46,-0.007055684688023756,461.36928571428564,450.8122
2016-03-16,2016,3,16,Wednesday,11,2016-11,481.95,492.95,481.95,492.6,49100,473.98,0.020509610362543063,462.7792857142857,451.19379999999995
2016-03-17,2016,3,17,Thursday,11,2016-11,492.18,499.13,480.79,495.86,62300,477.12,0.006617907251175392,464.82857142857137,451.5708
2016-03-18,2016,3,18,Friday,11,2016-11,495.3,499.99,491.04,497.15,102100,478.36,0.002601526568345225,467.1078571428571,452.0312
2016-03-21,2016,3,21,Monday,12,2016-12,495.29,497.14,489.4,493.36,59400,474.71,-0.007623434963609177,467.92571428571426,452.6534
2016-03-22,2016,3,22,Tuesday,12,2016-12,491.08,499.04,478.4,494.16,75500,475.48,0.001621617312714374,468.8328571428571,453.225
2016-03-23,2016,3,23,Wednesday,12,2016-12,494.63,498.0,489.02,490.16,46600,471.64,-0.008094574544646127,469.33142857142855,453.5642
2016-03-24,2016,3,24,Thursday,12,2016-12,488.51,489.98,482.58,489.15,51800,470.66,-0.0020606210566664895,469.56500000000005,453.8172
2016-03-28,2016,3,28,Monday,13,2016-13,489.17,493.9,485.33,491.59,32600,473.01,0.004988290650195459,470.36928571428564,454.14599999999996
2016-03-29,2016,3,29,Tuesday,13,2016-13,489.4,497.45,485.56,489.94,60900,471.42,-0.003356398153739115,471.23857142857145,454.27380000000005
2016-03-30,2016,3,30,Wednesday,13,2016-13,492.42,493.99,486.88,491.77,50200,473.18,0.0037350718181456966,471.98928571428576,454.668
2016-03-31,2016,3,31,Thursday,13,2016-13,490.65,497.86,490.1,496.2,61800,477.45,0.00900832397848328,473.05785714285713,455.3032
2016-04-01,2016,4,1,Friday,13,2016-13,490.04,498.5,490.04,498.26,39400,479.43,0.0041515492199011295,473.4757142857143,456.1642
2016-04-04,2016,4,4,Monday,14,2016-14,498.03,499.98,494.62,495.41,52200,476.69,-0.005719876710014504,474.1135714285714,456.99320000000006
2016-04-05,2016,4,5,Tuesday,14,2016-14,493.0,498.03,492.56,493.12,55800,474.48,-0.0046225070974280635,474.82928571428573,457.59520000000003
2016-04-06,2016,4,6,Wednesday,14,2016-14,493.2,497.41,490.96,496.02,56200,477.27,0.005880926229801853,475.0642857142857,458.4626
2016-04-07,2016,4,7,Thursday,14,2016-14,493.13,495.71,488.61,493.11,105300,474.47,-0.005866684672556577,474.875,459.19339999999994
2016-04-08,2016,4,8,Friday,14,2016-14,496.3,496.58,487.5,488.56,30700,470.1,-0.009227161841820264,474.285,459.8928000000001
2016-04-11,2016,4,11,Monday,15,2016-15,489.49,491.31,485.32,487.39,36900,468.97,-0.0023947495591437606,473.875,460.42879999999997
2016-04-12,2016,4,12,Tuesday,15,2016-15,482.85,499.5,482.85,499.36,60800,480.49,0.024559343074713524,474.23285714285714,460.8414
2016-04-13,2016,4,13,Wednesday,15,2016-15,501.13,503.25,495.25,501.96,38500,482.99,0.005206662129248363,475.04357142857145,461.37300000000005
2016-04-14,2016,4,14,Thursday,15,2016-15,500.45,502.57,490.09,501.13,39100,482.19,-0.0016534807542207819,475.8671428571428,462.09700000000004
2016-04-15,2016,4,15,Friday,15,2016-15,500.78,507.94,499.69,507.36,55100,488.19,0.012431865838706813,476.9514285714286,462.897
2016-04-18,2016,4,18,Monday,16,2016-16,506.01,510.54,506.01,508.79,27100,489.56,0.0028185508505318424,478.2471428571429,463.77200000000005
2016-04-19,2016,4,19,Tuesday,16,2016-16,510.84,512.93,508.01,512.93,25100,493.55,0.008136972780322882,479.70214285714286,464.7996
2016-04-20,2016,4,20,Wednesday,16,2016-16,511.92,516.32,511.92,514.95,18800,495.49,0.003938168101963679,480.9907142857143,465.925
2016-04-21,2016,4,21,Thursday,16,2016-16,516.37,516.37,503.4,507.97,39100,488.77,-0.013554786026076071,481.65785714285715,466.89520000000005
2016-04-22,2016,4,22,Friday,16,2016-16,508.45,512.8,507.22,512.6,27800,493.23,0.009114699915197866,482.8392857142857,467.94980000000004
2016-04-25,2016,4,25,Monday,17,2016-17,510.27,513.08,498.63,512.31,45300,492.95,-0.0005657066091955265,484.15857142857146,469.12299999999993
2016-04-26,2016,4,26,Tuesday,17,2016-17,510.9,515.83,510.9,515.83,30100,496.34,0.00687088329713248,485.52071428571435,470.1552
2016-04-27,2016,4,27,Wednesday,17,2016-17,513.92,516.7,511.67,515.71,23200,496.22,-0.00023266209335626176,487.07428571428574,471.1714
2016-04-28,2016,4,28,Thursday,17,2016-17,514.0,517.93,511.8,515.0,48700,495.54,-0.0013767404056519439,488.89142857142855,472.1336
2016-04-29,2016,4,29,Friday,17,2016-17,516.1,522.0,514.01,521.28,46900,501.58,0.012194169639162089,491.2207142857143,473.1954
2016-05-02,2016,5,2,Monday,18,2016-18,522.0,527.57,519.0,525.7,66100,505.83,0.008479191052002122,493.0307142857142,474.34340000000003
2016-05-03,2016,5,3,Tuesday,18,2016-18,522.65,531.58,514.16,518.83,31800,499.22,-0.013068315369872296,494.19,475.3156000000001
2016-05-04,2016,5,4,Wednesday,18,2016-18,516.97,518.71,515.0,517.72,49000,498.15,-0.002139557988103946,495.33000000000004,476.49379999999996
2016-05-05,2016,5,5,Thursday,18,2016-18,520.0,520.68,513.18,514.81,61400,495.35,-0.005620724305831382,495.84142857142854,477.4646000000001
2016-05-06,2016,5,6,Friday,18,2016-18,515.01,520.0,512.42,519.01,56400,499.4,0.008158383722685958,496.54428571428576,478.3678
2016-05-09,2016,5,9,Monday,19,2016-19,514.6,528.0,514.6,519.0,91000,499.39,-1.9249344025085158e-05,496.9614285714286,479.38699999999994
2016-05-10,2016,5,10,Tuesday,19,2016-19,519.0,527.67,516.2,524.56,68000,504.74,0.010712863374264803,497.6221428571428,480.5528
2016-05-11,2016,5,11,Wednesday,19,2016-19,520.51,528.4,520.48,520.75,21000,501.07,-0.007263236642341964,498.5007142857143,481.309
2016-05-12,2016,5,12,Thursday,19,2016-19,525.22,527.94,521.28,526.42,31900,506.53,0.010888080952283774,499.4507142857143,482.184
2016-05-13,2016,5,13,Friday,19,2016-19,526.17,530.0,521.07,525.7,30200,505.83,-0.0013675886608529586,500.37071428571426,483.0074000000001
2016-05-16,2016,5,16,Monday,20,2016-20,528.27,532.72,526.21,528.21,45400,508.25,0.004774503098859961,501.2214285714286,483.8246
2016-05-17,2016,5,17,Tuesday,20,2016-20,527.3,530.3,522.42,523.46,47900,503.68,-0.00899259084729398,501.75428571428574,484.6632
2016-05-18,2016,5,18,Wednesday,20,2016-20,522.65,533.88,520.6,528.23,71700,508.27,0.009112302153212681,502.6635714285714,485.6436
2016-05-19,2016,5,19,Thursday,20,2016-20,525.65,531.06,520.79,529.33,58400,509.33,0.0020825108774327195,503.21714285714285,486.5768
2016-05-20,2016,5,20,Friday,20,2016-20,530.0,531.11,528.0,529.41,64100,509.4,0.00015105234230294862,503.4721428571429,487.515
2016-05-23,2016,5,23,Monday,21,2016-21,529.01,530.44,526.68,527.52,31000,507.58,-0.0035698923442826214,504.06928571428574,488.195
2016-05-24,2016,5,24,Tuesday,21,2016-21,530.0,535.61,527.54,535.45,93100,515.21,0.01503254679945809,505.28785714285715,489.14399999999995
2016-05-25,2016,5,25,Wednesday,21,2016-21,535.85,535.9,529.14,534.32,54000,514.13,-0.0021103459550517734,506.62928571428574,490.13739999999996
2016-05-26,2016,5,26,Thursday,21,2016-21,535.66,537.39,532.93,537.38,23900,517.07,0.005726865552571292,507.89142857142855,490.9992
2016-05-27,2016,5,27,Friday,21,2016-21,536.98,543.34,536.98,540.94,42100,520.5,0.006624765572324609,509.3992857142857,491.8668
2016-05-31,2016,5,31,Tuesday,22,2016-22,541.18,545.88,537.75,544.83,89700,524.24,0.007191287713775418,510.7921428571429,492.7844
2016-06-01,2016,6,1,Wednesday,22,2016-22,544.83,544.92,538.04,544.38,48400,523.81,-0.0008260426387026731,512.4164285714286,493.7664
2016-06-02,2016,6,2,Thursday,22,2016-22,544.65,547.98,540.61,546.68,54500,526.02,0.004224981210783074,513.8085714285714,494.7772
2016-06-03,2016,6,3,Friday,22,2016-22,544.2,545.5,537.45,540.0,42300,519.59,-0.012219102378436375,514.7914285714286,495.73619999999994
2016-06-06,2016,6,6,Monday,23,2016-23,540.65,545.1,539.65,541.0,43100,520.55,0.0018517559201507439,515.67,496.7339999999999
2016-06-07,2016,6,7,Tuesday,23,2016-23,540.85,540.85,535.38,537.46,47900,517.15,-0.006543385824325121,516.6321428571429,497.6168
2016-06-08,2016,6,8,Wednesday,23,2016-23,536.75,539.87,534.27,538.13,56200,517.79,0.0012466720595099012,517.3121428571428,498.5442
2016-06-09,2016,6,9,Thursday,23,2016-23,536.59,540.95,534.18,540.23,37600,519.81,0.0039022712385576863,518.0607142857143,499.4767999999999
2016-06-10,2016,6,10,Friday,23,2016-23,535.62,536.24,522.0,524.69,101800,504.86,-0.02876555809777248,517.7364285714285,500.025
2016-06-13,2016,6,13,Monday,24,2016-24,523.69,527.12,513.93,517.78,61000,498.21,-0.013169515768969853,517.0671428571428,500.40060000000005
2016-06-14,2016,6,14,Tuesday,24,2016-24,515.25,521.22,515.25,518.32,42800,498.73,0.0010427913191053406,515.89,500.8414
2016-06-15,2016,6,15,Wednesday,24,2016-24,519.11,519.84,511.78,515.15,42500,495.68,-0.006115856153163901,514.5721428571428,501.2654
2016-06-16,2016,6,16,Thursday,24,2016-24,513.1,520.85,510.17,518.73,52800,499.13,0.006949365522158191,513.2907142857142,501.70259999999996
2016-06-17,2016,6,17,Friday,24,2016-24,516.7,520.01,514.0,518.82,111000,499.21,0.00017352104340084828,511.77,502.1974000000001
2016-06-20,2016,6,20,Monday,25,2016-25,520.74,528.11,517.18,527.9,80600,507.95,0.01750137224730608,510.6064285714286,502.95439999999996
2016-06-21,2016,6,21,Tuesday,25,2016-25,530.9,532.8,525.02,532.07,73000,511.96,0.00789918876476503,509.75999999999993,503.8142
2016-06-22,2016,6,22,Wednesday,25,2016-25,533.73,542.84,531.74,533.14,69500,512.99,0.002010971406008588,508.82928571428573,504.4642
2016-06-23,2016,6,23,Thursday,25,2016-25,538.0,544.73,530.29,542.59,61000,522.08,0.017725114558801325,509.00714285714287,505.24600000000004
2016-06-24,2016,6,24,Friday,25,2016-25,529.0,539.16,513.13,528.06,164900,508.1,-0.026778936829591315,508.11785714285713,505.76419999999996
2016-06-27,2016,6,27,Monday,26,2016-26,525.0,531.0,510.25,513.45,43400,494.05,-0.027667315913949997,506.46785714285716,505.8814
2016-06-28,2016,6,28,Tuesday,26,2016-26,520.0,528.63,516.99,526.28,110600,506.39,0.024987817261579837,505.65357142857147,506.21799999999996
2016-06-29,2016,6,29,Wednesday,26,2016-26,531.1,538.5,531.1,536.1,55900,515.84,0.018659210214365674,505.37,506.6638
2016-06-30,2016,6,30,Thursday,26,2016-26,537.5,550.27,536.53,549.58,73400,528.81,0.025144716623062946,507.0807142857143,507.3302
2016-07-01,2016,7,1,Friday,26,2016-26,546.86,549.76,537.57,538.07,48700,517.74,-0.02094326103285904,508.4757142857143,507.9096
2016-07-05,2016,7,5,Tuesday,27,2016-27,535.59,540.6,532.7,540.03,57500,519.62,0.0036426438905639014,509.9678571428571,508.43739999999997
2016-07-06,2016,7,6,Wednesday,27,2016-27,537.2,545.64,537.2,544.83,54600,524.24,0.008888380935914153,512.0078571428572,509.0632
2016-07-07,2016,7,7,Thursday,27,2016-27,547.65,547.65,539.05,541.83,45500,521.35,-0.005506252368541964,513.595,509.56340000000006
2016-07-08,2016,7,8,Friday,27,2016-27,544.25,548.96,544.25,547.56,27400,526.87,0.010575108369368591,515.5707142857143,510.1764
2016-07-11,2016,7,11,Monday,28,2016-28,549.33,550.0,546.07,548.03,21400,527.32,0.000858415635814902,516.9542857142858,510.81199999999995
2016-07-12,2016,7,12,Tuesday,28,2016-28,551.87,551.87,543.85,547.7,45500,527.0,-0.0006021117663889131,518.0285714285715,511.3204
2016-07-13,2016,7,13,Wednesday,28,2016-28,548.29,550.9,543.82,548.84,56500,528.1,0.002081444085801021,519.1078571428571,511.7658
2016-07-14,2016,7,14,Thursday,28,2016-28,550.19,552.89,543.14,545.2,52500,524.6,-0.006632177433167907,519.2878571428571,512.2733999999999
2016-07-15,2016,7,15,Friday,28,2016-28,548.58,548.58,541.57,542.9,45400,522.38,-0.0042186262722254675,520.3078571428572,512.758
2016-07-18,2016,7,18,Monday,29,2016-29,538.52,545.29,538.16,544.95,34500,524.36,0.003775915531284424,522.4728571428572,513.3382
2016-07-19,2016,7,19,Tuesday,29,2016-29,543.81,545.88,541.55,543.94,32200,523.38,-0.0018533271191041312,523.6864285714286,513.8178
2016-07-20,2016,7,20,Wednesday,29,2016-29,543.46,547.4,541.44,544.26,27100,523.69,0.0005882137543593569,524.2471428571429,514.3038
2016-07-21,2016,7,21,Thursday,29,2016-29,543.99,548.97,543.99,546.13,26700,525.49,0.0034358341652915847,524.01,514.7188
2016-07-22,2016,7,22,Friday,29,2016-29,548.11,553.48,547.1,551.89,36900,531.03,0.01054701719166351,524.9592857142858,515.318
2016-07-25,2016,7,25,Monday,30,2016-30,551.35,551.35,543.99,544.07,24700,523.51,-0.01416950675160944,525.2371428571429,515.6576
2016-07-26,2016,7,26,Tuesday,30,2016-30,546.05,548.98,541.45,544.26,44100,523.69,0.00034918305738163014,525.1978571428571,516.0147999999999
2016-07-27,2016,7,27,Wednesday,30,2016-30,544.12,549.8,542.02,545.33,37400,524.72,0.0019660477114757935,525.4385714285714,516.3442
2016-07-28,2016,7,28,Thursday,30,2016-30,543.56,551.98,543.56,548.83,28100,528.09,0.006418032652450556,525.5257142857143,516.8324
2016-07-29,2016,7,29,Friday,30,2016-30,550.35,550.35,543.13,543.5,39100,522.96,-0.00971151509043422,525.2142857142857,517.1261999999999
2016-08-01,2016,8,1,Monday,31,2016-31,546.3,549.94,540.68,543.57,27600,523.03,0.00012884887882225193,524.9307142857143,517.4002
2016-08-02,2016,8,2,Tuesday,31,2016-31,543.94,546.14,536.15,544.87,41500,524.28,0.0023915658734963152,524.6578571428572,517.6978
2016-08-03,2016,8,3,Wednesday,31,2016-31,540.57,544.0,536.48,537.81,53300,517.49,-0.012957266051788263,524.15,517.896
2016-08-04,2016,8,4,Thursday,31,2016-31,540.89,544.99,533.8,535.82,30200,515.57,-0.0037001937258763773,523.6635714285715,517.9032000000001
2016-08-05,2016,8,5,Friday,31,2016-31,539.75,542.79,534.03,538.78,41700,518.42,0.005524379186568451,523.2392857142858,517.989
2016-08-08,2016,8,8,Monday,32,2016-32,538.11,540.97,534.32,539.74,28000,519.34,0.0017816592117891883,522.9507142857143,518.0344
2016-08-09,2016,8,9,Tuesday,32,2016-32,539.65,542.44,534.77,540.8,24900,520.36,0.001963943404676982,522.7128571428572,518.0316
2016-08-10,2016,8,10,Wednesday,32,2016-32,541.3,541.3,536.35,537.95,15900,517.62,-0.00527000290419033,522.1507142857142,517.8992
2016-08-11,2016,8,11,Thursday,32,2016-32,538.59,538.59,534.03,534.51,21100,514.31,-0.006394532892519678,520.9564285714285,517.7092
